uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
00197000C,ACRA,QUEK TECK HUA,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-10-01,1974-10-01,LOCAL,53,BENCOOLEN STREET,na,na,na,189632,na,na,na,na,47102,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
00460600X,ACRA,QING QING HAIRDRESSING & BEAUTY SALOON,Sole Proprietorship/ Partnership,Partnership,na,na,Live,1974-10-11,1974-10-11,LOCAL,237,SERANGOON AVENUE 3,01,128,na,550237,na,na,na,na,96021,na,na,47109,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
00485200A,ACRA,QUEE LIM TONG,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-10-16,1974-10-16,LOCAL,260,KALLANG ROAD,na,na,na,1233,na,na,na,na,47723,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
00659100X,ACRA,QUEK THONG HUAT,Sole Proprietorship/ Partnership,Partnership,na,na,Live,1974-10-29,1974-10-29,LOCAL,105,SIMS AVENUE,07,11,CHANCERLODGE COMPLEX,387429,na,na,na,na,82999,WT OF RELIGIOUS PRODUCTS AND GIFTWARES,na,46900,WT OF RELIGIOUS PRODUCTS AND GIFTWARES,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
01664800E,ACRA,QUEEN'S PERMANENT WAVING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-10-22,1974-10-22,LOCAL,688,GEYLANG ROAD,na,na,na,389610,na,na,na,na,88919,na,na,96021,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
01731300K,ACRA,QUEK HOCK HENG WINE TRADER,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-11-14,1974-11-14,LOCAL,5,EUNOS CRESCENT,01,2619,na,400005,na,na,na,na,47102,na,na,47212,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
01914400L,ACRA,QUEEN'S PHOTO CO,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1974-11-22,1974-11-22,LOCAL,1,COLEMAN STREET,02,40,THE ADELPHI,179803,na,na,na,na,46491,"RETAIL CALCULATORS, TYPEWRITERS & OFFICE EQUIPMENTS",na,47411,"RETAIL CALCULATORS, TYPEWRITERS & OFFICE EQUIPMENTS",na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
02637500A,ACRA,QUEK KANG LIM,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-11-27,1974-11-27,LOCAL,6014,ANG MO KIO INDUSTRIAL PARK 3,01,316,na,569466,na,na,na,na,41009,na,na,na,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
02964200X,ACRA,QUAI KEE PHOTO-ENGRAVER ELECTRO-PLATER,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-11-12,1974-11-12,LOCAL,5,TOA PAYOH INDUSTRIAL PARK,01,1291,TOA PAYOH INDUSTRIAL PARK,319057,na,na,na,na,18129,"PRINTING, PUBLISHING & ALLIED INDUSTRIES NEC",na,58190,"PRINTING, PUBLISHING & ALLIED INDUSTRIES NEC",na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
03025500K,ACRA,QUEK CHEOK SIANG TERRAZZO WORKS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-12-13,1974-12-13,LOCAL,26,METROPOLE DRIVE,na,na,OPERA ESTATE,456703,na,na,na,na,42901,na,na,43901,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
