uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
01105700M,ACRA,XIN QIGONG CHINESE PHYSICIAN MEDICAL HALL,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-10-19,1974-10-19,LOCAL,75,JALAN SULTAN,na,na,na,198987,na,na,na,na,21022,MANUF MEDICINAL & PHARMACEUTICAL PRODS,na,47723,MANUF MEDICINAL & PHARMACEUTICAL PRODS,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07281600K,ACRA,XIANG GELOU HAIRDRESSING & BEAUTY SALON (UNISEX),Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-04-14,1975-04-14,LOCAL,280,TAMPINES STREET 22,01,246,na,520280,na,na,na,na,96021,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10376000L,ACRA,XCELWEAVE ENTERPRISE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-08-11,1975-08-11,LOCAL,10A,NORTH BRIDGE ROAD,na,na,na,0617,na,na,na,na,14101,MANUF SHIRTS & OTHER OUTER GARMENTS,na,46412,MANUF SHIRTS & OTHER OUTER GARMENTS,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
196400008H,ACRA,XINXIE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1964-01-02,1964-01-02,LOCAL,30,JURONG PORT ROAD,TWA,3,JALAN BUROH WAREHOUSE COMPLEX,619103,na,na,2013-01-31,2011-10-03,46900,na,na,70201,na,na,12,HIAP HUAT METAL & ENGINEERING,MALAYSIA MOSQUITO SPIRAL MANUF ACTURING COMPANY PRIAVTE,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
196800126C,ACRA,XEPA HOLDINGS PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Live Company,1968-04-08,1968-04-08,LOCAL,4,LOYANG WAY 1,na,na,na,508708,na,na,2026-07-31,2025-06-20,64201,HOLDING COMPANIES,na,na,HOLDING COMPANIES,na,14,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197201427R,ACRA,XIN ZHANG JIANG RESTAURANT PTE LTD,Local Company,na,Private Company Limited by Shares,na,Live Company,1972-10-14,1972-10-14,LOCAL,809,FRENCH ROAD,05,168,KITCHENER COMPLEX,200809,na,na,2026-03-31,2024-11-17,56111,na,na,10712,na,na,23,PRINCESS GARDEN RESTAURANT (PT E),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197402118N,ACRA,XFELD PTE LTD,Local Company,na,Private Company Limited by Shares,na,Struck Off,1974-12-02,1974-12-02,LOCAL,43B,PATERSON ROAD,na,na,na,238529,na,na,1997-08-26,1996-04-26,81211,SALES & SERVICES OF COMMUNICATION EQUIPMENT & OTHER EQUIPMENT,na,na,SALES & SERVICES OF COMMUNICATION EQUIPMENT & OTHER EQUIPMENT,na,12,TRANSCONTINENTAL TRADING,COMCO,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197601326E,ACRA,X-RAY CLINIC PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1976-06-28,1976-06-28,LOCAL,19,TANGLIN ROAD,06,54,TANGLIN SHOPPING CENTRE,247909,na,na,2007-07-21,2006-03-23,86203,na,na,na,na,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197802926R,ACRA,XIN-DE CONSTRUCTION & ENGINEERING PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1978-11-15,1978-11-15,LOCAL,15,QUEEN STREET,03,06,TAN CHONG TOWER,188537,na,na,1998-10-25,1997-06-24,41009,na,na,68201,na,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197803346K,ACRA,XJA PTE LTD,Local Company,na,Private Company Limited by Shares,na,Struck Off,1978-12-23,1978-12-23,LOCAL,4,TUAS DRIVE 2,na,na,na,638638,na,na,2003-01-31,2001-11-30,25139,MANUF OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY & EQUIPMENT NEC,na,25932,MANUF OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY & EQUIPMENT NEC,na,16,JURALCO ASIA,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
