agency_raw,agency_clean,agency_parent,agency_child,changed,had_double_spaces,had_dash,was_exception,was_split
Singapore Sports Council (Sport Singapore),Sport Singapore,Sport Singapore,,True,False,False,False,False
Singapore Sports Council (Sport Singapore) - SPC,Sport Singapore,Sport Singapore,,True,False,False,False,False
Accounting And Corporate Regulatory Authority,Accounting And Corporate Regulatory Authority,Accounting And Corporate Regulatory Authority,,False,False,False,False,False
National Heritage Board,National Heritage Board,National Heritage Board,,False,False,False,False,False
Prime Minister's Office-Elections Department,Prime Minister's Office-Elections Department,Prime Minister's Office-Elections Department,,False,False,True,False,False
Prime Minister's Office-Corrupt Practices Investigation Bureau,Prime Minister's Office-Corrupt Practices Investigation Bureau,Prime Minister's Office-Corrupt Practices Investigation Bureau,,False,False,True,False,False
Productivity Fund Administration Board,Productivity Fund Administration Board,Productivity Fund Administration Board,,False,False,False,False,False
Professional Engineers Board,Professional Engineers Board,Professional Engineers Board,,False,False,False,False,False
People's Association,People's Association,People's Association,,False,False,False,False,False
Parliament,Parliament,Parliament,,False,False,False,False,False
Nanyang Polytechnic,Nanyang Polytechnic,Nanyang Polytechnic,,False,False,False,False,False
"Agency for Science, Technology and Research","Agency for Science, Technology and Research","Agency for Science, Technology and Research",,False,False,False,False,False
Ngee Ann Polytechnic,Ngee Ann Polytechnic,Ngee Ann Polytechnic,,False,False,False,False,False
National Parks Board,National Parks Board,National Parks Board,,False,False,False,False,False
National Library Board,National Library Board,National Library Board,,False,False,False,False,False
National Environment Agency,National Environment Agency,National Environment Agency,,False,False,False,False,False
Prime Minister's Office - National Research Foundation,Prime Minister's Office - National Research Foundation,Prime Minister's Office,National Research Foundation,False,False,False,False,True
National Council of Social Service,National Council of Social Service,National Council of Social Service,,False,False,False,False,False
Ministry of National Development-Ministry Headquarter,Ministry of National Development-Ministry Headquarter,Ministry of National Development-Ministry Headquarter,,False,False,True,False,False
National Arts Council,National Arts Council,National Arts Council,,False,False,False,False,False
Majlis Ugama Islam Singapura,Majlis Ugama Islam Singapura,Majlis Ugama Islam Singapura,,False,False,False,False,False
Maritime and Port Authority of Singapore,Maritime and Port Authority of Singapore,Maritime and Port Authority of Singapore,,False,False,False,False,False
